Title,Author,Translator,ZipRelativePath,TextRelativePath
一本足の兵隊,アンデルセン ハンス・クリスチャン鈴木 三重吉,,cards/000019/files/45183_ruby_23453.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/45183_ruby_23453_ippon'ashino_heitai.txt
絵のない絵本,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/58165_ruby_64285.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58165_ruby_64285_01eno_nai_ehon.txt
すずの兵隊さん,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/58847_ruby_70917.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58847_ruby_70917_suzuno_heitaisan.txt
人魚の姫,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/58848_ruby_67657.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58848_ruby_67657_ningyono_hime.txt
ナイチンゲール,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/58849_ruby_66942.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58849_ruby_66942_naichingeru.txt
影,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/58861_ruby_72436.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58861_ruby_72436_kage.txt
空とぶトランク,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/58874_ruby_70916.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58874_ruby_70916_sora_tobu_toranku.txt
みにくいアヒルの子,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/58875_ruby_69707.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58875_ruby_69707_minikui_ahiruno_ko.txt
モミの木,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/58882_ruby_69708.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/58882_ruby_69708_momino_ki.txt
雪の女王,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59261_ruby_72279.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59261_ruby_72279_yukino_joo.txt
いたずらっ子,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59321_ruby_71247.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59321_ruby_71247_itazurakko.txt
年とったカシワの木のさいごの夢,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59322_ruby_68696.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59322_ruby_68696_toshi_totta_kashiwano_kino_saigono_yume.txt
